,Name,Price
0,"['Archer', 'AX10']",$398.00
1,"['Archer', 'AX11000']","$3,639.00"
2,"['Archer', 'AX12']",$349.00
3,"['Archer', 'AX20']",$498.00
4,"['Archer', 'AX23']",$449.00
5,"['Archer', 'AX55']",$599.00
6,"['Archer', 'AX55']",$699.00
7,"['Archer', 'AX6000']","$2,098.00"
8,"['Archer', 'AX72']",$749.00
9,"['Archer', 'AX73']",$799.00
10,"['Archer', 'AX75']",$999.00
11,"['Archer', 'AX80']","$1,499.00"
12,"['Archer', 'AX95']","$1,799.00"
13,"['Archer', 'AXE75']","$1,299.00"
14,"['Archer', 'BE800']","$4,999.00"
15,"['Archer', 'GX90']","$1,998.00"
16,"['Archer', 'TX20U']",$399.00
17,"['Archer', 'TX20UH']",$399.00
18,"['Archer', 'TX3000E']",$469.00
19,"['Archer', 'TX50E']",$399.00
20,"['Archer', 'TXE75E']",$799.00
21,"['Deco', 'BE65']"," $2,999.00"
22,"['Deco', 'BE85']"," $5,999.00"
23,"['Deco', 'X20']", $748.00
24,"['Deco', 'X20-4G']","$1,388.00"
25,"['Deco', 'X50']", $898.00
26,"['Deco', 'X50-4G']","$1,688.00"
27,"['Deco', 'X50-5G']","$2,499.00"
28,"['Deco', 'X50-PoE']", $999.00
29,"['Deco', 'X60']", $898.00
30,"['Deco', 'X60']", $898.00
31,"['Deco', 'X68']"," $1,178.00"
32,"['Deco', 'X75']","$2,198.00"
33,"['Deco', 'X80-5G']","$3,998.00"
34,"['Deco', 'X95']"," $1,999.00"
35,"['Deco', 'XE200']"," $4,599.00"
36,"['Deco', 'XE75']"," $1,398.00"
37,"['Deco', 'XE75']"," $1,799.00"
38,"['RE500X', 'AX1500']",$528.00
39,"['RE505X', 'AX1500']",$579.00
40,"['RE600X', 'AX1800']",$599.00
41,"['RE605X', 'AX1800']",$679.00
42,"['RE705X', 'AX3000']",$899.00
