,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Model,SRP($),Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,Dec-22,Jan-23,Feb-23,Mar-23,Apr-23,May-23,Jun-23,Jul-23,Aug-23,Sep-23
RAX10,660,,,698,698,659,659,659,659,599,599,599,599,599,660,599,599,599,599,519,549,549,698,698,698,599,599,599,599,599,599,599
RAX30,1135,,,,,,,,,,,998,998,998,888,888,888,888,888,838,838,799,799,799,799,799,799,799,799,799,799,799
RAX36S,1280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,880,880
RAX50,1590,1550,1550,1550,1350,1350,1350,1290,1290,1190,1190,1190,1190,1190,1190,1190,1190,1190,1190,1100,1100,1100,1100,990,990,990,990,990,990,990,990,990
RAX70,2680,,,2680,2680,2680,2680,2290,2290,1780,1780,1780,1780,1780,1780,1780,1780,1780,1780,1590,1590,1510,1510,1510,1510,1510,1510,1510,1510,1510,1510,1510
RAX120,3040,3040,3040,3040,3040,3040,3040,3040,3040,2880,2880,2880,2880,2880,2590,2590,2590,2590,2590,2199,2390,2390,2390,2288,2288,1990,1990,1990,1990,1990,1990,1990
RAX200,4580,4580,4580,4580,3890,3890,3890,3890,3890,3580,3580,3580,3580,3580,3580,3580,3580,3580,3580,3580,3580,3222,3222,3222,3222,3380,3380,3380,3380,3380,3380,3380
EAX12,750,,,,,,,,,,,,,,,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750
EAX20,1128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EAX80,1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RBKE963B,13600,,,,,,,,,,,,,,,,,,,13600,13600,13600,13600,13600,13600,13600,13600,13600,13600,13600,12600,12600
